Nama Hakim,Terdakwa,Jumlah Perkara
MARSELINUS AMBARITA,4,2
JIMMY RAY IE,4,4
BAYU ADHYPRATAMA,4,2
YULI EFFENDI,4,4
LUCAS SAHABAT DUHA,4,4
YUDHISTIRA ADHI NUGRAHA,4,2
NOERISTA SURYAWATI,3,1
IRPAN HASAN LUBIS,3,3
YENI ERLITA,3,3
IWAN HARRY WINARTO,3,2
MAROLOP WINNER PASROLAN BAKARA,3,2
LENNY KUSUMA MAHARANI,3,2
WILSON SHRIVER,3,3
HERBERT GODLIAF UKTOLSEJA,3,3
I GUSTI NGURAH PUTRA ATMAJA,3,3
MOHAMMAD WACHID USMAN,3,1
ALBERTUS USADA,3,2
EDI SAPUTRA PELAWI,3,3
DWI FLORENCE,3,1
RITA NOVITA SARI,3,2
ELIN PUJIASTUTI,3,3
ACHMAD RASYID PURBA,3,2
TUMPANULI MARBUN,3,3
KRISTANTO SAHAT HAMONANGAN SIANIPAR,3,3
HASANUDIN,3,3
NELLY ANDRIANI,3,1
TEGUH HARISSA,3,3
HALIMATUSSAKDIAH,3,1
TAUFIQURROHMAN,3,2
KHAMOZARO WARUWU,3,3
SYARIP,3,3
FREDY TANADA,3,1
FRANSISKUS ARKADEUS RUWE,3,3
SYAFRIZAL,3,3
MULYADI ARIBOWO,3,3
FERRY MARCUS JUSTINUS SUMLANG,3,2
MUHAMMAD TAUFIQ,3,2
KADEK DWI KRISNA ANANDA,3,3
FARRAH YUZESTA AULIA,3,2
KADARISMAN AL RISKANDAR,3,3
FANDI ABDILLAH,3,3
HERA KARTININGSIH,3,3
EVELYNE NAPITUPULU,3,2
JUSDI PURMAWAN,3,1
ERVEN LANGGENG KASEH,3,3
ERNILA WIDIKARTIKAWATI,3,3
SUBRONTO,3,3
MUHAMMAD IKHSAN,3,3
EKO SUPRIYANTO,3,3
EDY ALEX SERAYOX,3,2
EDWIN YUDHI PURWANTO,3,3
EDUART M.P. SIHALOHO,3,3
EDISON M.,3,3
EDI SUBAGIYO,3,3
EDI SANJAYA LASE,3,2
EDI RAHMAD,3,1
SINTA GABERIA PASARIBU,3,3
SIH YULIARTI,3,2
MONITA HONEISTY BR SITORUS,3,3
MOHAMMAD SOLIHIN,3,3
DIDIMUS HARTANTO DENDOT,3,2
MOHAMMAD HASANUDDIN HEFNI,3,2
DIAN TRIASTUTY,3,2
IKA RATNA UTAMI,3,1
DEWA KETUT KARTANA,3,3
DENI ALBAR,3,3
IIN FATIMAH,3,2
DWI HATMODJO,3,2
DAIMON DONNY SIAHAYA,3,2
DARMINTO HUTASOIT.,3,1
HENDRA HUTABARAT,3,3
IDA MARYAM HASIBUAN,3,3
CAKRA TONA PARHUSIP,3,1
ROSIHAN JUHRIAH RANGKUTI,3,2
JOHAN WAHYU HIDAYAT,3,3
RONNY WIDODO,3,2
MANGULUANG,3,1
ADITIYA DENI PRASETYA,3,1
RIZQA YUNIA,3,1
MAULIA MARTWENTY INE,3,3
ENDRA HERMAWAN,3,3
ASRI,3,3
ALDO ADRIAN HUTAPEA,3,3
CATUR PRASETYO,3,2
RISBARITA SIMARANGKIR,3,2
MASLIKAN,3,2
CATYAWI AVESTA SASONGKO PUTRO,3,3
ARI WIDODO,3,2
GDE PUTU OKA YOGA BHARATA,3,3
RINA LESTARI BR. SEMBIRING,3,3
I WAYAN SUARTA,3,2
PANJI ANSWINARTHA,3,3
JEFRY RONI PARULIAN SITOMPUL,3,2
INDIRA PATMI,3,3
MARTIN GINTING,3,3
IDA AYU NYOMAN ADNYA DEWI,3,3
SERLIWATY,3,2
ELLY ISTIANAWATI,3,1
SUBCHI EKO PUTRO,3,3
ARIE SATIO RANTJOKO,3,3
T.O.C.H SIMANJUNTAK,3,1
R. AJI SURYO,3,3
AMRAN S. HERMAN,3,2
GRAITO ARAN SAPUTRO,3,3
ACHMAD WAHYU UTOMO,3,3
RUDY HAPOSAN ADIPUTRA,3,3
AKHMAD BANGUN SUJIWO,3,2
ARI KURNIAWAN,3,3
HAMKA,3,2
RAKHMAT RUSMIN WIDYARTHA,3,2
AHMAD IHSAN AMRI,3,2
LUKMAN AKHMAD,3,3
ARISTA BUDI CAHYAWAN,3,3
RAHMAT SAHALA PAKPAHAN,3,3
FARIDH ZUHRI,3,3
AHMAD SAMUAR,3,3
HIKA DERIYANSI ASRIL PUTRA,3,3
RIZAL TAUFANI,3,2
ISNURUL SYAMSUL ARIF,3,2
IGNATIUS YULYANTO ARI WIBOWO,3,2
ABRAHAM VAN VOLLEN HOVEN GINTING,3,3
ALVIN RAMADHAN NUR LUIS,3,2
MAHYUDIN,3,3
LILIN HERLINA,3,3
REFI DAMAYANTI,3,1
MOHD. RIZKY MUSMAR,3,2
ANNISA SITAWATI,3,2
ULWAN MALUF,3,2
IRWANSYAH PUTRA SITORUS,3,3
LUKMEN YOGIE SINAGA,3,3
I KETUT DARPAWAN,3,2
YULI PURNOMOSIDI,3,3
RISWANDY,3,3
HALIDA RAHARDHINI,3,3
IRWANSYAH,3,3
YOLA ESKA AFRINA SIHOMBING,2,2
TIDAK DICANTUMKAN,2,2
EDITERIAL,2,2
EDUWARD,2,2
AIDA NOVITA,2,2
JOHN RICARDO,2,1
HORAS EL CAIRO PURBA,2,1
BAMBANG SUCIPTO,2,2
SURATNI,2,1
DAVID DARMAWAN,2,2
ALFIAN WAHYU PRATAMA,2,1
HUSNUL KHOTIMAH,2,2
WIDODO HARIAWAN,2,2
NURMALA SINURAT,2,2
SUNDARI,2,2
NIKEN ROCHAYATI,2,2
BETSJI SISKE MANOE,2,2
LEBA MAX NANDOKO ROHI,2,2
WAHYU ISWARI,2,2
IRENE SARI M. SINAGA,2,1
TORNADO EDMAWAN,2,2
WAHYU KUSUMANINGRUM,2,2
NOVI NURADHAYANTY,2,1
NURHADI,2,2
DANARDONO,2,2
INGGIT SUCI PRATIWI,2,2
SUWANTO,2,1
PESTA PARTOGI HASIHOLAN SITORUS,2,2
KOPSAH,2,1
AGUS CAKRA NUGRAHA,2,2
AGUNG PRASETYO,2,2
SAPTO SUPRIYONO,2,2
HENY FARIDHA,2,2
TONY ARIFUDDIN SIRAIT,2,2
HARYA JUANG SIREGAR,2,1
HARTATI,2,2
TIMUR AGUNG NUGROHO,2,2
TEGUH ARIFIANO,2,1
H. SYAMSUDIN LA HASAN,2,1
TARYAN SETIAWAN,2,2
GILLANG PAMUNGKAS,2,2
NARTILONA,2,2
FX. HANUNG DWI WIBOWO,2,2
INDAH WASTU KENCANA WULAN,2,1
SYAFRUDDIN,2,2
FITRIZAL YANTO,2,2
SUWARJO,2,1
MUHAMMAD SAINAL,2,2
FIRDAUS,2,2
FERI ANDA,2,2
SUNARTI,2,1
SULISTYO MUHAMAD DWI PUTRO,2,2
MUHAMMAD TAOFIK,2,2
SULISTIYONO,2,2
FAJAR PRAMONO,2,2
FADHLI,2,2
SUKMAWATI,2,2
SUHARDIN Z. SAPAA,2,2
EVI FITRIAWATI,2,2
SUHENDRA SAPUTRA,2,1
MUHAMMAD JUANDA PARISI,2,1
SUGIRI WIRYANDONO,2,2
IMELDA,2,2
ELTO MAYO,2,2
SRI HARIYANI,2,2
SONTAN MERAUKE SINAGA,2,2
EDWIN PUDYONO MARWIYANTO,2,2
JULIANTY WATTIMURY,2,1
JOSCA JANE RIRIHENA,2,2
DWI PURWANTI,2,2
DONY HARDIYANTO,2,2
DONALD FREDERIK SOPACUA,2,2
SIFA'UROSIDIN,2,2
SHERLY RISANTY,2,2
DINAHAYATI SYOFYAN,2,2
SETYANTO HERMAWAN,2,1
DIMAS WIDIANANTO,2,2
DILLI TIMORA ANDI GUNAWAN,2,2
DIDIT PAMBUDI WIDODO,2,2
DICKY WAHYUDI SUSANTO,2,1
IKBAL MUHAMMAD,2,2
DHIMAS NUGROHO PRIYOSUKAMTO,2,2
MOHAMMAD FIKRI ICHSAN,2,2
JON SARMAN SARAGIH,2,2
DERRY WISNU BROTO K.P,2,2
HENDRA PRAMONO,2,2
SAFWANUDDIN SIREGAR,2,2
DAVID FREDO CHARLES SOPLANIT,2,2
RUSTANTO,2,2
DAME PARULIAN PANDIANGAN,2,2
CYRILLA NUR ENDAH SULISTYANINGRUM,2,2
COKIA ANA PONTIA O,2,2
RUDANTI WIDIANUSITA,2,1
CESAR ANTONIO MUNTHE,2,2
MIAN MUNTHE,2,2
HIRAS SITANGGANG,2,1
BOXGIE AGUS SANTOSO,2,2
BONNY SANGGAH,2,2
BENYAMIN,2,2
MINANOER RACHMAN,2,2
BENY SUMARNO,2,2
BENNY OCTAVIANUS,2,2
ERNI LILY GUMOLILI,2,1
BENEDICTUS RINANTA,2,2
RIZKY RAMADHAN,2,1
MELDA LOLYTA SIHITE,2,2
"BUDI SETIAWAN, SH",2,2
BAMBANG SUPRIYONO,2,2
MAXI SIGARLAKI,2,1
BAGUS SUMANJAYA,2,2
WIDIA IRFANI,2,2
RIZKY INDRA ADI PRASETYO R.,2,1
BUDI PRAYITNO,2,2
ASTEA BIDARSARI,2,2
ASEP SUMIRAT DANAATMAJA,2,1
ARYO WIDIATMOKO,2,1
TRI SUGONDO,2,2
ARMAWAN,2,2
ROMMEL FRANCISKUS TAMPUBOLON,2,2
RION APRALOKA,2,2
CHRISTINE VICTORIA SIREGAR,2,1
SEFTRA BESTIAN,2,2
ARIEF WIBOWO,2,1
"ARIE ANDHIKA ADIKRESNA,",2,1
RINTO LEONI MANULLANG,2,1
RINA SULASTRI JENNYWATI,2,1
IBRAHIM HASAN KURNIAWAN,2,1
NI WAYAN WIRAWATI,2,1
MARTARIA YUDITH KUSUMA,2,1
"ANTON RIZAL SETIAWAN,",2,2
GEDE PUTRA ASTAWA,2,2
I GDE GINARSA,2,1
IDA BAGUS BAMADEWA PATIPUTRA,2,2
I G. N. A. ARYANTA ERA W,2,2
ANNIE SAFRINA SIMANJUNTAK,2,2
ABDULLATIP,2,2
ANITA SILITONGA,2,1
MADELA NATALIA SAI REEVE,2,2
RICKY INDRA YOHANIS,2,2
TITIS TRI WULANDARI,2,1
ALINE OKTAVIA KURNIA,2,2
ANDY NARTO SILTOR,2,2
MUHAMMAD IRFAN,2,1
AGUS ISKANDAR,2,2
ANDI NAIMMI MASRURA ARIFIN,2,2
HARI SUPRIYANTO,2,2
ALVIN ZAKKA ARIFIN ZETA,2,2
JASAEL,2,2
ANTYO HARRI SUSETYO,2,1
MARLIYUS M.S,2,2
KONY HARTANTO,2,2
BRILLIAN HADI WAHYU PRATAMA,2,2
ALFAN FIRDAUZI KURNIAWAN,2,2
BERNARDO VAN CHRISTIAN,2,2
RAYS HIDAYAT,2,2
MARIA MINERVA KAINAMA,2,2
SUTARMO,2,2
I KETUT MARDIKA,2,1
MUSTAJAB,2,2
THOMAS TARIGAN,2,2
HENDRO HEZKIEL SIBORO,2,1
ERWINSON NABABAN,2,1
PARMATONI,2,2
A AULIA RAHMAN,2,1
SULAEMAN,2,1
RAHMAWATI WAHYU SAPTANINGTIAS,2,1
AHMAD GAZALI,2,2
AGUSTINUS,2,2
VIVI PURNAMAWATI,2,2
MANGAPUL GIRSANG,2,2
AGUS TJAHJO MAHENDRA,2,2
TRI BAGINDA K.A.G,2,2
MAURITS M. RICARDO SITOHANG,2,2
MANGAPUL,2,1
ARDHI WIJAYANTO,2,2
ARIS FITRA WIJAYA,2,2
ACHMAD IYUD NUGRAHA,2,2
MAHFUDIN,2,2
ITONG ISNAENI HIDAYAT,2,2
AHMAD RIZAL,2,2
ADJI PRAKOSO,2,1
RUDI HARTOYO,2,1
TIMOTHEE KENCONO MALYE,2,2
ADENG ABDUL KOHAR,2,2
ACHMAD YANI TAMHER,2,1
M. ISKANDAR MUDA,2,2
HERDIAN EKA PUTRAVIANTO,2,2
SYOFIA NISRA,2,1
ISMAIL WAEL,2,2
NURAFRIANI PUTRI,2,2
ABDURRAHMAN MASDIANA,2,2
ADISWARNA CHAINUR PUTRA,2,2
ABDUL GAFUR BUNGIN,2,2
LIBERTY OKTAVIANUS SITORUS,2,2
YONA LAMEROSSA KETAREN,2,2
A.F.S DEWANTORO,2,1
YUZAIDA,2,2
ZULFANURFITRI,2,1
LUTFI ALZAGLADI,2,2
NOOR ICHWAN ICHLAS RIA ADHA,2,1
R. ZAENAL ARIEF,2,1
YUSWARDI,2,2
EDDY CAHYONO,2,2
SUBUR SUSATYO,2,2
EMI TRI RAHAYU,2,1
BAKHTIAR,2,1
ABU HANIFAH,2,2
SAHLAN EFENDI,2,2
PIPIT CHRISTA ANGGRAENI SEKEWAEL,2,2
PHILLIP M. SOENTPIET,2,2
PETRUS NICO KRISTIAN,2,2
ARPISOL,2,2
AGUNG WICAKSONO,2,2
YUNIZA RAHMA PERTIWI,2,2
PETRA JEANNY SIAHAAN,2,2
ISABELA SAMELINA,2,2
RESA OKTARIA,2,2
YULI ATMANINGSIH,2,2
ULFA RERY,2,1
FEGA UKTOLSEJA,2,2
MUH. IMAM IRSYAD,1,1
YOLA NINDIA UTAMI,1,1
BOKO,1,1
DWI SURYANTA,1,1
MOHAMMAD ISTIADI,1,1
YOHANES HERO SUJAYA,1,1
PASTI TARIGAN,1,1
WIRYATMI,1,1
SULARKO,1,1
IKHWAN HENDRATO,1,1
WHISNU SURYADI,1,1
MAKMURIN KUSUMASTUTI,1,1
H. MUHAMMAD,1,1
YOGA PERDANA,1,1
PANJI SURONO,1,1
R AGUNG ARIBOWO,1,1
CANDRA NURENDRA ADIYANA,1,1
MUHAMMAD IKHSAN FATHONI,1,1
YENI EKO PURWANINGSIH,1,1
YESI AKHISTA,1,1
YENI CHRUSTINE DEBORA,1,1
DZULKARNAIN,1,1
MUHAMAD BAGINDA RAJOKO HARAHAP,1,1
ANSHORI HIRONI,1,1
RIOS RAHMANTO,1,1
MELCKY JOHNY OTOH,1,1
YAHYA WAHYUDI,1,1
PANDJI PATRIOSA,1,1
LEONARDUS,1,1
VILIA SARI,1,1
BUDI SETYAWAN,1,1
PRANATA SUBHAN,1,1
MOCHAMAD UMARYAJI,1,1
DIAN ERDIANTO,1,1
KADARWOKO,1,1
ST. IKO SUDJATMIKO,1,1
LAILY FITRIA TITIN ANUGERAHWATI,1,1
DARMINTO HUTASOIT,1,1
A. A. PUTU PUTRA ARIYANA,1,1
LISFER BERUTU,1,1
WILLEM MARCO ERARI,1,1
OKI BASUKI RACHMAT,1,1
DIAN NUR PRATIWI,1,1
WIENDA KRESNANTYO,1,1
OCTIAWAN BASRI,1,1
WANDA ANDRIYENNI,1,1
NYOMAN AYU WULANDARI,1,1
WIDANA ANGGARA PUTRA,1,1
ELIZABETH PRASASTI ASMARANI,1,1
WENING INDRADI,1,1
LELY TRIANTINI,1,1
IRMA WAHYUNINGSIH,1,1
IRMA RAHMAHWATI,1,1
DWI HANANTA,1,1
RADITYO BASKORO,1,1
CHRISTINA ENDARWATI,1,1
WAHYUDINSYAH PANJAITAN,1,1
IRLINA,1,1
WAHYU SETIOADI,1,1
MUKHTARI,1,1
VICI DANIEL VALENTINO,1,1
RIGHTMEN MS SITUMORANG,1,1
PARLIN MANGATAS BONA TUA,1,1
EKO BUDI SUPRIYANTO,1,1
VENI MUSTIKA ENDRIASTUTI TRIYOGI OKTAVIANI,1,1
KAIRUL SOLEH,1,1
ANTONIUS WIDIJANTONO,1,1
MUHAMAD YUSUF,1,1
PUDJI WIDODO,1,1
SURANTO,1,1
A.A. PT NGR RAJENDRA,1,1
AGUS NAZARUDDINSYAH,1,1
NOVRITSAR HASINTONGAN PAKPAHAN,1,1
NOVITASARI TRI HARYANTI,1,1
IDA RATNAWATI,1,1
ARIS BAWONO LANGGENG,1,1
GATOT SARWADI,1,1
ULI PURNAMA,1,1
HADI SUNOTO,1,1
SALMAN ALFARIS,1,1
NOVA SALMON,1,1
SURYO NEGORO,1,1
EDI SUBAGIO,1,1
RAKHMAT PRIYADI,1,1
NOVA FLORY BUNDA,1,1
KARTIJONO,1,1
MUHAMAD SALAM GIRIBASUKI,1,1
JOKO WIDODO,1,1
HELKA RERUNG,1,1
HATIJAH AVERIEN PADUWI,1,1
HASNUL TAMBUNAN,1,1
TOHARI TAPSIRIN,1,1
KUSMAN,1,1
KURNIA SARI ALKAS,1,1
IRFANUL HAKIM,1,1
HARRIES KONSTITUANTO,1,1
TEUKU SYARAFI,1,1
TENGKU OYONG,1,1
HAMZAH KAILUL,1,1
NATALIA MAHARANI,1,1
GT. RISNA MARIANA,1,1
GLORIOUS ANGGUNDORO,1,1
T. BENNY EKO SUPRIYADI,1,1
GANDUNG,1,1
FRANSISKUS WILFRIRDUS MAMO,1,1
SYLVIA YUDHIASTIKA,1,1
NARNI PRISKA FARIDAYANTI,1,1
FRANS EFFENDI MANURUNG,1,1
FORCI NILPA DARMA,1,1
SYAFRIL PARDAMEAN BATUBARA,1,1
FITRIA SEPTRIANA,1,1
FITRIA HANDAYANI GINTING,1,1
FIKA RAMADHANINGTYAS PUTRI,1,1
SUTOTO ADIPUTRO,1,1
SUTIO JUMAGI AKHIRNO,1,1
FEMINA MUSTIKAWATI,1,1
FAUZI ISRA,1,1
SUPARNO,1,1
FARIDA DWI JAYANTHI,1,1
FAQIHNA FIDDIN,1,1
SULAIMAN M.,1,1
MUSLIM M. ASH SHIDDIQI,1,1
KIKI YURISTIAN,1,1
EVANDER RELAND BUTAR BUTAR,1,1
ETRI WIDAYATI,1,1
ERLY SOELISTYARINI,1,1
ERLI YANSAH,1,1
EMMY HARYONO SAPUTRO,1,1
SUKO HARSONO,1,1
ELI SUPRAPTO.,1,1
SISKA RIS SULISTIYO NINGSIH,1,1
SISILIA DIAN JIWA YUSTISIA,1,1
MUHAMAD ADI HENDRAWAN,1,1
DOUGLAS R.P. NAPITUPULU,1,1
DODY RAHMANTO,1,1
DJUYAMTO,1,1
SIGIT TRIATMOJO,1,1
MORAILAM PURBA,1,1
MOORIS MENGAPUL SIHOMBING,1,1
JUSTIAR RONAL,1,1
I DEWA GEDE SUARDITHA,1,1
HERA POLOSIA DESTINY,1,1
DINI NUSROTUDINIYAH ARIFIN,1,1
SAYED TARMIZI,1,1
SAYED FAUZAN,1,1
DICKY RAMDHANI,1,1
DICKI IRVANDI,1,1
SARAH LOUIS S,1,1
SAPUTRO HANDOYO,1,1
MOHAMMAD PANDI ALAM,1,1
DEWI LESTARI NUROSO,1,1
DEWANGGA HERJUNA WISNU GAUTAMA,1,1
SAPRUDDIN,1,1
DEVID AGUSWANDRI,1,1
DESSY DERIA ELISABETH GINTING,1,1
DENIHENDRA ST. PANDUKO,1,1
MOH. SUTARWADI,1,1
MOH. BEKTI WIBOWO,1,1
DENI INDRAYANA,1,1
SAIFUL HS,1,1
MOH REZWANDHA MESYA,1,1
DEDI IRAWAN,1,1
MOH FATKAN,1,1
DEDE SURYAMAN,1,1
DASRIWATI,1,1
"SAFRUDDIN,",1,1
DANANG UTARYO,1,1
MOCHAMAD REZA FAHMIANTO,1,1
JOKO SAPTONO,1,1
DANANDOYO DARMAKUSUMA,1,1
DADI RACHMADI,1,1
RUDY SETYAWAN,1,1
CINDAR BUMI,1,1
CHRISTINA SIMANULLANG,1,1
CHRISTA YULIANTA PRABANDANA,1,1
RUBEN BARCELONA HARIANDJA,1,1
ROZIYANTI,1,1
"JOHANIS DAIRO MALO,",1,1
HJ. AISA HI. MAHMUD,1,1
BUDI TEGUH ALBERTO SIMAREMARE,1,1
BICTERZON WELFARE HUTAPEA,1,1
ROSYADI,1,1
WAHYUDIANSYAH PANJAITAN,1,1
HENDRA WAHYUDI,1,1
HASNUL FUAD,1,1
LILI EVELIN,1,1
DADI SURYANDI,1,1
SUPARDI (HAKIM TUNGGAL),1,1
SUPRIYATNA RAHMAT,1,1
"ANDI HENDRAWAN (P.1), ASMUDDIN (BANDING)",1,1
"LUKMAN NUK HAKIM (P.1), MELKY SALAHUDIN (BANDING & KASASI),",1,1
DEWI YANTI,1,1
DONY DORTMUND,1,1
ACEP SOPIAN SAURI,1,1
MIRA SENDANGSARI,1,1
GUTIARSO,1,1
AZIZ JUNAEDI,1,1
RIWANDI,1,1
AGNES SINAGA,1,1
AWAL DARMAWAN AKHMAD,1,1
RIVAI RASYID TUKUBOYA,1,1
SIGIT JATI KUSUMO,1,1
RISWAN SUPARTAWINATA,1,1
MOHAMMAD FAUZI SALAM,1,1
BASRIN,1,1
JOKO DWI ATMOKO,1,1
ARSUL HIDAYAT,1,1
MAULIDA ARIYANTI,1,1
FIRDAUS ZAINAL,1,1
EDWIN RISKI MARENTEK,1,1
ROYKE HAROLD INKIRIWANG,1,1
ARIE ANDHIKA ADIKRESNA,1,1
ARIANDY,1,1
LUH SASMITA DEWI,1,1
ARI WIBOWO,1,1
LIENA,1,1
NI PUTU ASIH YUDIASTRI,1,1
ARDI.,1,1
RINI MASYITAH,1,1
RINDING SAMBARA,1,1
MARYAM BROO,1,1
JOEDI PRAJITNO,1,1
HISBULLAH IDRIS,1,1
KUKUH KURNIAWAN,1,1
RINA LESTARI BR SEMBIRING,1,1
I PUTU SUYOGA,1,1
I WAYAN SUKRADANA,1,1
RIFA'I,1,1
ANNE RUSIANA,1,1
NOVITA WITRI,1,1
NUR ERVIANTI MELIALA,1,1
ANGGA NUGRAHA AGUNG,1,1
RICKY EMARZA BASYIR,1,1
RANI SURYANI PUSTIKASARI,1,1
ANDREAS ARMAN SITEPU,1,1
TUGIYANTO,1,1
RICHMOND P.B. SITOROES,1,1
EDY TOTO PURBA,1,1
SAIDIN BAGARIANG,1,1
ANAK AGUNG NGURAH BUDHI DHARMAWAN,1,1
MARPER PANDIANGAN,1,1
RICCO IMAM VIMAYZAR,1,1
ARTHA ULLY,1,1
JERRY THOMAS,1,1
HARTATI ARI SURYAWATI,1,1
NUR IHSAN SAHABUDDIN,1,1
RENDRA,1,1
MARLIYUS MS,1,1
I WAYAN SUGIARTAWAN,1,1
HARIO PURWO HANTORO,1,1
ARIF SETIAWAN,1,1
AKHMAD SAHYUTI,1,1
RAYMON HARYANTO,1,1
AISA HI. MAHMUD,1,1
MARIA RINA SULISTIAWATI,1,1
HARLINA RAYES,1,1
SURYA LAKSEMANA,1,1
AHMAD NUR HIDAYAT,1,1
HASCARYO,1,1
DEKY VELIX WAGIJU,1,1
HASRAWATI YUNUS,1,1
AGUS RAHARDJO,1,1
AHMAD ISMAIL,1,1
AGUNG SULISTIYONO,1,1
RAJA BONAR WANSI SIREGAR,1,1
MARIA ADINTA KRISPRADANI,1,1
MARCELLINO GONZALES SEDYANTOPUTRO,1,1
RAKHMAD DWINANTO,1,1
NUR SALAMAH,1,1
AKHMAD BUDIAWAN,1,1
AWALUDDIN HENDRA APRILANA,1,1
HENGKY ALEXANDER YAO,1,1
AGUSTINUS HERWINDU WICAKSONO,1,1
RAFI MAULANA,1,1
ETIK PURWANINGSIH,1,1
RADITYO MUHAMMAD HARSENO,1,1
RADEN ZAENAL ARIEF,1,1
JAN MANOPPO,1,1
I PUTU GEDE ASTAWA,1,1
SETIAWAN ADIPUTRA,1,1
AGUNG SULISTIONO,1,1
AGUNG CORY F. D. LAIA,1,1
RESTU IKHLAS,1,1
RAHMAD HIDAYAT BATUBARA,1,1
NURRAHMI,1,1
AGNES MONICA,1,1
MOCHAMAD ADIB ZAIN,1,1
MAJU PURBA,1,1
SARUDI,1,1
ADELLA SERA GIRSANG,1,1
AFRIZAL HADY,1,1
PUTU MAHENDRA,1,1
MELFIHARYANI,1,1
PUTU GDE HARIADI,1,1
RATNA DEWI DARIMI,1,1
JATMIKO PUJO RAHARJO,1,1
NOPELITA SEMBIRING,1,1
EDY SIONG,1,1
ABU ACHMAD SIDQI AMSYA,1,1
M. FAHMI HARY NUGROHO,1,1
M. ERIC ILHAM AULIA AKBAR,1,1
ABD. HADI NASUTION,1,1
AULIA FHATMA WIDHOLA,1,1
PURWANTA,1,1
ZULKIFLI,1,1
PURNAMA,1,1
ZEPHANIA,1,1
PRONGGO JOYONEGARA,1,1
BAGUS IRAWAN,1,1
YOSDI,1,1
ZALDY DHARMAWAN PUTRA,1,1
TOCH SIMANJUNTAK,1,1
YUSUF SYAMSUDDIN,1,1
MURNI ROZALINDA,1,1
YUSTISIA PERMATASARI,1,1
DEWI ELYARAHMA SULISTIYOWATI,1,1
NASORIANTO,1,1
YUSTIKA TATAR FAUZI HARAHAP,1,1
YUSRIZAL,1,1
LUSI EMMI KUSUMAWATI,1,1
HARYANTO DAS’AT,1,1
ARIEF KARYADI,1,1
YURI ADRIANSYAH,1,1
YUNIANTO AGUNG NURCAHYO,1,1
YULISAR,1,1
TRI LESTARI,1,1
YULIA MARHAENA,1,1
YULIANTO THOSULY,1,1
YULI SINTHESA TRISTANIA,1,1
"PERELA DE ESPERANZA,",1,1
MUHAMMAD DENY FIRDAUS,1,1
VERDIAN MARTIN,1,1
GUNTUR KURNIAWAN,1,1
FERRI IRAWAN,1,1
MAHARTHA NOERDIANSYAH,1,1
PATAR PANJAITAN,1,1
PASTRA JOSEPH ZIRALUO,1,1
LUKI EKO ANDRIANTO,1,1
LODEWYK IVANDRIE SIMANJUNTAK,1,1
ISNANIA NINE MARTA,1,1
HERU HANINDYO,1,1
HENY DWITARUM,1,1
HENDRA YURISTIAWAN,1,1