Kabupaten,Jumlah Perkara
KABUPATEN BARITO UTARA,2378
KABUPATEN MUSI BANYUASIN,222
KABUPATEN KETAPANG,191
-,181
KABUPATEN MEMPAWAH,160
KABUPATEN BENGKALIS,135
KABUPATEN SINTANG,134
KABUPATEN KUTAI KARTANEGARA,116
KABUPATEN BATANG HARI,115
KABUPATEN KUANTAN SINGINGI,113
KABUPATEN MUARA ENIM,112
KABUPATEN MERANGIN,112
KABUPATEN ROKAN HILIR,103
KABUPATEN BENGKAYANG,85
KABUPATEN BUNGO,79
KABUPATEN PELALAWAN,76
KABUPATEN TEBO,74
KABUPATEN KATINGAN,71
KABUPATEN SANGGAU,70
KABUPATEN SAROLANGUN,67
KABUPATEN INDRAGIRI HULU,66
KABUPATEN SAMBAS,65
KABUPATEN LEBAK,64
KOTA AMBON,64
KABUPATEN BURU,59
KABUPATEN BERAU,59
KABUPATEN PONOROGO,58
KABUPATEN SIDOARJO,57
KOTA DUMAI,54
KABUPATEN SEKADAU,51
KABUPATEN LANDAK,50
KOTA PEKANBARU,49
KABUPATEN BOMBANA,47
KABUPATEN LAMPUNG SELATAN,46
KABUPATEN OGAN KOMERING ULU,45
KABUPATEN LAMPUNG TIMUR,43
KABUPATEN KAPUAS HULU,42
KABUPATEN MALUKU TENGAH,38
KOTA PALEMBANG,38
KABUPATEN SERAM BAGIAN BARAT,37
KABUPATEN PASER,36
KABUPATEN KEPULAUAN MERANTI,35
KABUPATEN PARIGI MOUTONG,34
KABUPATEN LAMANDAU,33
KABUPATEN SUMBAWA,33
KABUPATEN LAMONGAN,32
KABUPATEN TANJUNG JABUNG BARAT,32
KABUPATEN KAMPAR,32
–,32
KABUPATEN JEMBRANA,31
KABUPATEN TANJUNG JABUNG TIMUR,30
KOTA BALIKPAPAN,30
KABUPATEN MOROWALI,29
KABUPATEN LOMBOK TENGAH,29
KABUPATEN LOMBOK TIMUR,29
KOTA SAMARINDA,29
KABUPATEN KUTAI BARAT,28
KABUPATEN PESISIR BARAT,28
KABUPATEN KERINCI,27
KOTA BONTANG,26
KABUPATEN PANDEGLANG,26
KABUPATEN PENAJAM PASER UTARA,26
KABUPATEN DOMPU,24
KABUPATEN POHUWATO,24
KABUPATEN BIMA,24
KABUPATEN BANYUASIN,24
KABUPATEN JEPARA,23
KABUPATEN BANGGAI,23
KABUPATEN MUARO JAMBI,22
KABUPATEN PASURUAN,21
KABUPATEN PATI,21
KABUPATEN TANGGAMUS,21
KABUPATEN MAJALENGKA,21
KABUPATEN LAMPUNG UTARA,20
KABUPATEN DONGGALA,19
KOTA SEMARANG,19
KABUPATEN MUSI RAWAS UTARA,19
KABUPATEN TOLITOLI,18
KABUPATEN TOJO UNA-UNA,18
KABUPATEN MANOKWARI,18
KABUPATEN GIANYAR,18
KABUPATEN KLATEN,18
KABUPATEN MAGELANG,18
KABUPATEN LAMPUNG TENGAH,18
KABUPATEN OGAN KOMERING ILIR,17
SAMARINDA,16
KOTA PADANG,16
KABUPATEN WONOSOBO,16
KABUPATEN BANGGAI LAUT,16
KABUPATEN KEPULAUAN ARU,16
KABUPATEN BANYUMAS,15
KABUPATEN REMBANG,14
KABUPATEN GROBOGAN,14
KABUPATEN MUSI RAWAS,13
KABUPATEN BATANG,13
KABUPATEN MOROWALI UTARA,13
KOTA LUBUKLINGGAU,12
KABUPATEN LAHAT,12
KABUPATEN KOLAKA,12
KUTAI KARTANEGARA,12
KABUPATEN PRINGSEWU,12
KABUPATEN BANGKALAN,12
KABUPATEN ROKAN HULU,11
KABUPATEN MAROWALI UTARA,11
KABUPATEN SRAGEN,11
KABUPATEN KONAWE SELATAN,11
KABUPATEN MUNA BARAT,11
KABUPATEN SUMBAWA BARAT,11
KABUPATEN WAY KANAN,11
KABUPATEN OGAN KOMERING ULU TIMUR,11
KABUPATEN TEMANGGUNG,10
KABUPATEN BONE BOLANGO,10
KABUPATEN BARITO TIMUR,10
KABUPATEN LAMPUNG BARAT,10
SELAT MALAKA,9
KABUPATEN KONAWE UTARA,9
KOTA BAU-BAU,9
KABUPATEN BLORA,9
KABUPATEN SIGI,9
KABUPATEN BANGGAI KEPULAUAN,9
KABUPATEN OGAN ILIR,9
Halmahera Selatan,8
Kota Ternate,8
KABUPATEN BOYOLALI,8
KABUPATEN BANJARNEGARA,8
KOTA KENDARI,8
KABUPATEN CILACAP,8
KABUPATEN GORONTALO,7
KOTA GORONTALO,7
Kabupaten Halmahera Barat,7
KABUPATEN TANGERANG,7
KABUPATEN KEBUMEN,7
KABUPATEN POSO,7
KABUPATEN MAROWALI,7
KOTA TUAL,7
KOTA PADANG PANJANG,6
KABUPATEN KOLAKA UTARA,6
KABUPATEN KEPULAUAN TANIMBAR,6
KABUPATEN PEKALONGAN,6
KABUPATEN MURUNGRAYA,6
KABUPATEN KUTAI TIMUR,6
KABUPATEN BOALEMO,5
KABUPATEN BADUNG,5
KABUPATEN KENDAL,5
KABUPATEN MOROWALI (SULAWESI TENGAH),5
KABUPATEN TULANG BAWANG,5
KABUPATEN PURBALINGGA,5
KABUPATEN KUNINGAN,4
KOTA SUNGGAI PENUH,4
TIDAK DICANTUMKAN,4
KOTA BUKITTINGGI,4
KAB. PADANG PARIAMAN,4
KABUPATEN KEPUALAUAN MENTAWAI,4
KABUPATEN KONAWE,4
KABUPATEN TABANAN,4
KOTA TANGERANG,4
Kabupaten Pulau Taliabu,4
KABUPATEN PENUKAL ABAB LEMATANG ILIR,3
KOTA CIREBON,3
KABUPATEN OGAN KOMERING ULU SELATAN,3
KOTA PARIAMAN,3
KABUPATEN PEGUNUNGAN ARFAK,3
KABUPATEN TELUK WONDAMA,3
KABUPATEN MUNA,3
KABUPATEN SUKOHARJO,3
KABUPATEN AGAM,3
KABUPATEN PEMALANG,3
KABUPATEN BREBES,3
KABUPATEN GORONTALO UTARA,3
Kabupaten Halmahera Utara,3
KABUPATEN PANGANDARAN,3
KABUPATEN SUKABUMI,3
KABUPATEN SIAK,3
Kabupaten Tidore Kepulauan,2
KAB. TANAH DATAR,2
PADANG PARIAMAN,2
KABUPATEN SEMARANG,2
KAB.KEP MENTAWAI,2
"KABUPATEN KEPULAUAN MENTAWAI,",2
KABUPATEN TEGAL,2
KOTA SURAKARTA,2
KABUPATEN BUTON UTARA,2
KABUPATEN PURWOREJO,2
KABUPATEN BUTON,2
KABUPATEN KLUNGKUNG,2
KABUPATEN KARANGASEM,2
KOTA DENPASAR,2
KABUPATEN MUSIRAWAS UTARA,2
KABUPATEN PEGUNUNGAN BINTANG,2
KOTA PALU,2
KABUPATEN SERAM BAGIAN TIMUR,2
KOTA PRABUMULIH,1
KABUPATEN LOMBOK,1
Kabupaten Halmahera Selatan,1
Kabupaten Halmahera Tengah,1
KABUPATEN BANGKEP,1
Kabupaten Pulau Morotai,1
kota Ternate,1
KAB.PADANG PARIAMAN,1
KABUPATEN PESISIR SELATAN,1
KAB. KEP. MENTAWAI,1
KABUPATEN WONOGIRI,1
DI KAMPUNG KALAWI BARAT GANG BALUKA NO. 2 RT. 02 RW. 03 KEL. LUBUK LINTAH KEC KURANJI KOTA PADANG,1
0,1
KABUPATEN KEPULAUAN MENTAWAI,1
KABUPATEN BUTON SELATAN,1
KABUPATEN KOLAKA TIMUR,1
KOTA SALATIGA,1
KOTA SINGKAWANG SELATAN,1
KABUPATEN GARUT,1
KABUPATEN BOMBANA (MENGIKUTI KONTEKS),1
KABUPATEN DEMAK,1
KABUPATEN BULELENG,1
JAKARTA UTARA,1
JAKARTA TIMUR,1
—,1
KOTA PEKALONGAN,1
KOTA SEMARANG DAN TEGAL,1
KOTA TARAKAN,1
KABUPATEN MUSI BANYU ASIN,1
KABUPATEN MESUJI,1
"KOTA MEDAN, SUMATERA UTARA",1
"KABUPATEN INDRAMAYU, JAWA BARAT",1
"KOTA DEPOK, JAWA BARAT",1
"KABUPATEN GUNUNG KIDUL, YOGYAKARTA",1
KABUPATEN BANGGAI UTARA,1
KABUPATEN MALUKU TENGGARA BARAT,1
KABUPATEN KUBU RAYA,1