Pengadilan,Jumlah Perkara
PENGADILAN NEGERI SEKAYU,196
PENGADILAN NEGERI KETAPANG,191
PENGADILAN NEGERI BENGKALIS,170
PENGADILAN NEGERI MEMPAWAH,161
PENGADILAN NEGERI JAMBI,159
PENGADILAN NEGERI SINTANG,134
PENGADILAN NEGERI SANGGAU,121
PENGADILAN NEGERI MUARA BULIAN,120
PENGADILAN NEGERI MUARA ENIM,117
PENGADILAN NEGERI BANGKO,114
PENGADILAN NEGERI JEMBER,114
PENGADILAN NEGERI TALUK KUANTAN,111
PENGADILAN NEGERI TENGGARONG,107
PENGADILAN NEGERI PONTIANAK,105
PENGADILAN NEGERI SURABAYA,105
PENGADILAN NEGERI ROKAN HILIR,102
PENGADILAN NEGERI AMBON,101
PENGADILAN NEGERI PALEMBANG,95
PENGADILAN NEGERI MUARA BUNGO,90
PENGADILAN NEGERI MUARA TEWEH,90
PENGADILAN NEGERI MEDAN,88
PENGADILAN NEGERI MATARAM,88
PENGADILANNEGERI BENGKAYANG,86
PENGADILAN NEGERI NGAWI,82
PENGADILAN NEGERI POSO,82
PENGADILAN NEGERI BOJONEGORO,82
PENGADILAN NEGERI PALANGKARAYA,80
PENGADILAN NEGERI TUBAN,79
PENGADILAN NEGERI PELALAWAN,76
PENGADILAN NEGERI KUALA KAPUAS,74
PENGADILAN NEGERI TEBO,74
PENGADILAN NEGERI KASONGAN,71
PENGADILAN NEGERI PANGKALAN BUN,71
PENGADILAN NEGERI SAMARINDA,70
PENGADILAN NEGERI KENDARI,69
PENGADILAN NEGERI SAROLANGUN,69
PENGADILAN NEGERI RANGKASBITUNG,68
PENGADILAN NEGERI BANDUNG,67
PENGADILAN NEGERI PONOROGO,66
PENGADILAN NEGERI RENGAT/INDRAGIRI,66
PENGADILAN NEGERI SAMBAS,65
PENGADILAN NEGERI DENPASAR,65
PENGADILAN NEGERI PEKANBARU,64
PENGADILAN NEGERI DUMAI,62
PENGADILAN NEGERI BATURAJA,61
PENGADILAN NEGERI NGANJUK,60
PENGADILAN NEGERI TANJUNG REDEB,59
PENGADILAN NEGERI SIDOARJO,59
0,59
PENGADILAN NEGERI NAMLEA,58
PENGADILAN NEGERI BONDOWOSO,58
PENGADILAN NEGERI SITUBONDOH,58
PENGADILAN NEGERI KUTAI BARAT,52
PENGADILAN NEGERI LUWUK,52
PENGADILAN NEGERI SUMBAWA BESAR,51
PENGADILAN NEGERI NGABANG,50
PENGADILAN NEGERI KALIANDA,50
PENGADILAN NEGERI KRAKSAAN,48
PENGADILAN NEGERI KABUPATEN MADIUN,46
PENGADILAN NEGERI CIBADAK,45
PENGADILAN NEGERI SUKADANA,43
PENGADILAN NEGERI LUBUKLINGGAU,42
PENGADILAN NEGERI PUTUSSIBAU,42
PENGADILAN NEGERI RABA/BIMA,42
PENGADILAN NEGERI JOMBANG,40
PENGADILAN NEGERI PALU,38
PENGADILAN NEGERI LIWA,38
PENGADILAN NEGERI SELONG,38
PENGADILAN NEGERI SORONG,37
PENGADILAN NEGERI KOTA AGUNG,37
PENGADILAN NEGERI TANAH GROGOT,36
PENGADILAN NEGERI TANJUNG JABUNG TIMUR,36
PENGADILAN NEGERI BALIGE,36
PENGADILAN NEGERI BALIKPAPAN,35
PENGADILAN NEGERI NANGA BULIK,33
PENGADILAN NEGERI NEGARA,33
PENGADILAN NEGERI PARIGI,33
PENGADILAN NEGERI TANGERANG,32
PENGADILAN NEGERI LAMONGAN,32
PENGADILAN NEGERI KUALA TUNGKAL,32
PENGADILAN NEGERI AGRA MAKMUR,31
PENGADILAN NEGERI SUNGAI PENUH,31
PENGADILAN NEGERI BALE BANDUNG,31
PENGADILAN NEGERI PRAYA,30
PENGADILAN NEGERI SAMPIT,29
PENGADILAN NEGERI PANDEGLANG,29
PENGADILAN NEGERI DATARAN HUNIPOPU,28
PENGADILAN NEGERI BONTANG,28
PENGADILAN NEGERI MOJOKERTO,27
PENGADILAN NEGERI PENAJAM,26
PENGADILAN NEGERI STABAT,26
PENGADILAN NEGERI MAJALENGKA,25
PENGADILAN NEGERI MANOKWARI,25
PENGADILAN NEGERI BANGKINANG,25
PENGADILAN NEGERI KARAWANG,24
PENGADILAN NEGERI DOMPU,24
PENGADILAN NEGERI BEKASI,23
PENGADILAN NEGERI MARISA,23
PENGADILAN NEGERI KUNINGAN,23
PENGADILAN NEGERI DONGGALA,23
PENGADILAN NEGERI JEPARA,23
PENGADILAN NEGERI KOTA SEMARANG,22
PENGADILAN NEGERI SENGETI,22
PENGADILAN NEGERI TUBEI,22
PENGADILAN NEGERI MUKOMUKO,22
PENGADILAN NEGERI GORONTALO,21
PENGADILAN NEGERI BLITAR,20
PENGADILAN NEGERI GUNUNG SUGIH,20
PENGADILAN NEGERI PATI,20
PENGADILAN NEGRI BANGIL,19
PENGADILAN NEGERI KAYUAGUNG,19
PENGADILAN NEGERI SUMEDANG,19
PENGADILAN NEGERI LUBUK PAKAM,18
PENGADILAN NEGERI KOTABUMI,18
PENGADILAN NEGERI TULUNGAGUNG,18
PENGADILAN NEGERI MUNGKID,18
PENGADILAN NEGERI TOLI-TOLI,17
PENGADILAN NEGERI GIANYAR,17
PENGADILAN NEGERI SIBOLGA,17
PENGADILAN NEGERI KLATEN,17
PENGADILAN NEGERI PADANGSIDIMPUAN,16
PENGADILAN NEGERI TERNATE,16
PENGADILAN NEGERI MANDAILING NATAL,16
PENGADILAN NEGERI WONOSOBO,16
PENGADILAN NEGERI GRESIK,16
PENGADILAN NEGERI DOBO,16
PENGADILAN NEGERI BANGKALAN,14
PENGADILAN NEGERI TRENGGALEK,14
PENGADILAN NEGERI BINTUHAN,14
PENGADILAN NEGERI MASOHI,14
PENGADILAN NEGERI GARUT,14
PENGADILAN NEGERI REMBANG,14
PENGADILAN NEGERI PURWODADI,14
PENGADILAN NEGERI BATANG,14
PENGADILAN NEGERI BENGKULU,13
PENGADILAN NEGERI LUMAJANG,12
PENGADILAN NEGERI CIANJUR,12
PENGADILAN NEGERI LAHAT,12
PENGADILAN NEGERI CIAMIS,12
PENGADILAN NEGERI MALANG,12
PENGADILAN NEGERI CURUP,11
PENGADILAN NEGERI BLAMBANGAN UMPU,11
PENGADILAN NEGERI INDRAMAYU,11
PENGADILAN NEGERI KABUPATEN KEDIRI,11
PENGADILAN NEGERI SRAGEN,11
PENGADILAN NEGERI KABANJAHE,11
PENGADILAN NEGERI UNAAHA,10
PENGADILAN NEGERI SUMBER,10
PENGADILAN NEGERI SUMENEP,10
PENGADILAN NEGERI ANDOOLO,10
PENGADILAN NEGERI PASARWAJO,10
PENGADILAN NEGERI RAHA,10
PENGADILAN NEGERI KOLAKA,10
PENGADILAN NEGERI KEDIRI,10
PENGADILAN NEGERI LIMBOTO,10
PENGADILAN NEGERI TAMIANG LAYANG,10
PENGADILAN NEGERI PASIR PENGARAIAN,10
PENGADILAN NEGERI TEMANGGUNG,10
PENGADILAN NEGERI SIDIKALANG,10
PENGADILAN NEGERI BAU-BAU,9
PENGADILAN NEGERI PACITAN,9
PENGADILAN NEGERI LABUHA,9
PENGADILAN NEGERI BLORA,9
PENGADILAN NEGERI BANYUMAS,8
PENGADILAN NEGERI CILACAP,8
PENGADILAN NEGERI SIMALUNGUN,8
PENGADILAN NEGERI CIREBON,8
PENGADILAN NEGERI TUAL,8
PENGADILAN NEGERI BOYOLALI,8
PENGADILAN NEGERI BANJARNEGARA,8
PENGADILAN NEGERI KEBUMEN,7
PENGADILAN NEGERI PROBOLINGGO,7
PENGADILAN NEGERI PURWAKARTA,7
PENGADILAN NEGERI GUNUNG SITOLI,7
PENGADILAN NEGERI SAUMLAKI,7
PENGADILAN NEGERI SUBANG,7
PENGADILAN NEGERI PURWOKERTO,7
PENGADILAN NEGERI MAGETAN,7
PENGADILAN NEGERI PEKALONGAN,7
PENGADILAN NEGERI MENGGALA,6
PENGADILAN NEGERI LASUSUA,5
PENGADILAN NEGERI TILAMUTA,5
PENGADILAN NEGERI PURBALINGGA,5
PENGADILAN NEGERI RANTAU PRAPAT,5
PENGADILAN NEGERI DEPOK,4
PENGADILAN NEGERI BOBONG,4
PENGADILAN NEGERI TOBELO,4
PENGADILAN NEGERI TABANAN,4
PENGADILAN NEGERI TAIS,4
PENGADILAN NEGERI KENDAL,4
PENGADILAN NEGERI DATARAN HUNIMOA,3
PENGADILAN NEGERI SIBUHUAN,3
PENGADILAN NEGERI SOASIO,3
PENGADILAN NEGERI TASIKMALAYA,3
PENGADILAN NEGERI MANNA,3
PENGADILAN NEGERI BINJAI,3
PENGADILAN NEGERI SUKOHARJO,3
PENGADILAN NEGERI PEMALANG,3
PENGADILAN NEGERI BREBES,3
PENGADILAN NEGERI WAMENA,2
PENGADILAN NEGERI PAMEKASAN,2
PENGADILAN NEGERI SEMARAPURA,2
PENGADILAN NEGERI UNGARAN,2
PENGADILAN NEGERI PURWOREJO,2
PENGADILAN NEGERI SLAWI,2
PENGADILAN NEGERI SURAKARTA,2
PENGADILAN NEGERI SEI REMPAH,1
PENGADILAN NEGERI NIBIRE,1
PENGADILAN NEGERI WONOGIRI,1
PENGADILAN NEGERI SALATIGA,1
PENGADILAN NEGERI DEMAK,1
PENGADILAN NEGERI KOTA TIMIKA KABUPATEN MIMIKA,1